iter	Logloss
0	0.5776827849
1	0.4963718548
2	0.4312457599
3	0.3772344856
4	0.336699404
5	0.3102863734
6	0.2895734755
7	0.2703232988
8	0.2597127982
9	0.2501048891
10	0.2412631127
11	0.233043809
12	0.227375202
13	0.222081961
14	0.2194481076
15	0.216115587
16	0.2127470211
17	0.2106490508
18	0.2087509601
19	0.2068741147
20	0.2054902025
21	0.2038054092
22	0.2027655939
23	0.2018218563
24	0.2007315761
25	0.1997699434
26	0.1984657924
27	0.197607005
28	0.1963596269
29	0.1956401978
30	0.1951916905
31	0.194576181
32	0.194004277
33	0.1936064654
34	0.1929490686
35	0.1926202537
36	0.192324965
37	0.1918988406
38	0.191257246
39	0.1907338415
40	0.1901621767
41	0.1899124922
42	0.1894712991
43	0.1887092317
44	0.1884193894
45	0.1879784439
46	0.1877791483
47	0.1875886748
48	0.1872353928
49	0.1870458717
50	0.1869134578
51	0.1866075207
52	0.1861512654
53	0.1858525772
54	0.1857422878
55	0.1852684278
56	0.1847144465
57	0.1841390102
58	0.183918645
59	0.1832861207
60	0.1826269137
61	0.1824012005
62	0.1820633284
63	0.1815289427
64	0.1812735755
65	0.1811428423
66	0.1810548878
67	0.1808124548
68	0.1807634645
69	0.1805714813
70	0.1803874236
71	0.1801305005
72	0.1797490266
73	0.1797481024
74	0.1796220129
75	0.1794423694
76	0.1792222985
77	0.179068805
78	0.178785169
79	0.1784833097
80	0.1784080536
81	0.1777790142
82	0.1774248841
83	0.1772802465
84	0.1772794395
85	0.1772010893
86	0.177072078
87	0.1767406332
88	0.1765700378
89	0.1763437127
90	0.1761863838
91	0.1759204095
92	0.175562902
93	0.1755149057
94	0.1753491513
95	0.1749965051
96	0.1747967924
97	0.1746882348
98	0.1745944195
99	0.1745031033
100	0.1739760174
101	0.1738807917
102	0.1737567174
103	0.1736731021
104	0.1735345314
105	0.1734765111
106	0.1733610634
107	0.1731940164
108	0.1731034087
109	0.1730497775
110	0.1729186358
111	0.1728200851
112	0.172693318
113	0.1726150258
114	0.172319435
115	0.1721968135
116	0.172053496
117	0.1719993501
118	0.1719335594
119	0.1717937571
120	0.171702047
121	0.1713483838
122	0.1712597878
123	0.1710108446
124	0.1709207227
125	0.1706258314
126	0.1706257035
127	0.1705984718
128	0.1703650826
129	0.1703076183
130	0.1701732257
131	0.1698378411
132	0.1697032212
133	0.1696101374
134	0.169326944
135	0.1691556406
136	0.1690143748
137	0.1687818041
138	0.1686736696
139	0.1685688611
140	0.168429321
141	0.1682445234
142	0.1680238983
143	0.1678467247
144	0.1677616269
145	0.1676603481
146	0.1675308415
147	0.1674995331
148	0.1673864771
149	0.1672398458
150	0.1671096367
151	0.1667317361
152	0.1665671193
153	0.1665356483
154	0.1664473483
155	0.1662173631
156	0.1661265199
157	0.1660278
158	0.1659081295
159	0.1657820333
160	0.1656671242
161	0.1655984283
162	0.1655162204
163	0.1654580349
164	0.1650522862
165	0.1648259677
166	0.1647172909
167	0.1644871832
168	0.1644234591
169	0.1642986025
170	0.1641992032
171	0.1639836507
172	0.1638250909
173	0.1637673485
174	0.1635267353
175	0.1634274698
176	0.1631039497
177	0.1629746636
178	0.1629431504
179	0.1627630211
180	0.1626530554
181	0.1626106577
182	0.162407599
183	0.1623034661
184	0.1622240658
185	0.1622110528
186	0.1620222132
187	0.161954586
188	0.1617609044
189	0.161621169
190	0.1614794202
191	0.1614145601
192	0.1614041589
193	0.1612123704
194	0.1610649345
