iter	Passed	Remaining
0	214	214015
1	280	140026
2	347	115500
3	418	104115
4	486	96817
5	551	91411
6	612	86936
7	686	85185
8	750	82673
9	813	80585
10	877	78901
11	940	77434
12	1003	76165
13	1066	75101
14	1107	72697
15	1167	71803
16	1230	71155
17	1294	70622
18	1357	70114
19	1418	69509
20	1480	69002
21	1543	68596
22	1604	68166
23	1668	67870
24	1730	67480
25	1793	67204
26	1858	66983
27	1924	66799
28	1981	66354
29	2050	66311
30	2115	66113
31	2178	65902
32	2240	65646
33	2301	65401
34	2366	65252
35	2427	65004
36	2490	64821
37	2554	64660
38	2618	64518
39	2680	64340
40	2742	64146
41	2806	64008
42	2870	63885
43	2931	63701
44	2994	63548
45	3058	63426
46	3121	63288
47	3184	63162
48	3248	63041
49	3311	62917
50	3374	62797
51	3438	62687
52	3506	62658
53	3567	62503
54	3628	62341
55	3688	62182
56	3753	62093
57	3813	61933
58	3875	61807
59	3941	61745
60	3999	61565
61	4062	61463
62	4126	61370
63	4189	61268
64	4252	61176
65	4316	61087
66	4379	60986
67	4443	60899
68	4505	60795
69	4568	60701
70	4630	60584
71	4693	60488
72	4756	60394
73	4782	59847
74	4846	59771
75	4909	59684
76	4972	59600
77	5034	59511
78	5100	59458
79	5162	59367
80	5213	59146
81	5277	59082
82	5340	59005
83	5402	58912
84	5436	58527
85	5500	58453
86	5562	58376
87	5621	58263
88	5684	58182
89	5749	58130
90	5812	58061
91	5876	57996
92	5942	57951
93	6001	57840
94	6065	57777
95	6129	57714
96	6193	57655
97	6256	57582
98	6312	57452
99	6377	57396
100	6443	57351
101	6507	57290
102	6566	57182
103	6629	57113
104	6690	57028
105	6751	56943
106	6810	56836
107	6874	56780
108	6937	56711
109	6999	56632
110	7059	56541
111	7120	56455
112	7185	56400
113	7247	56325
114	7312	56271
115	7374	56202
116	7438	56139
117	7502	56080
118	7561	55983
119	7625	55919
120	7687	55843
121	7750	55780
122	7816	55732
123	7878	55658
124	7939	55577
125	8006	55534
126	8039	55261
127	8101	55193
128	8166	55141
129	8225	55044
130	8287	54978
131	8349	54901
132	8412	54840
133	8472	54752
134	8534	54685
135	8597	54622
136	8661	54559
137	8722	54482
138	8784	54411
139	8845	54337
140	8906	54257
141	8970	54201
142	9034	54145
143	9111	54161
144	9175	54104
145	9239	54043
146	9303	53983
147	9363	53904
148	9427	53843
149	9489	53774
150	9550	53699
151	9619	53666
152	9683	53609
153	9744	53531
154	9801	53436
155	9866	53380
156	9928	53309
157	9993	53254
158	10056	53192
159	10119	53127
160	10181	53058
161	10241	52978
162	10308	52936
163	10369	52860
164	10432	52796
165	10499	52749
166	10563	52690
167	10624	52618
168	10687	52553
169	10750	52488
170	10813	52425
171	10873	52346
172	10937	52282
173	10999	52214
174	11060	52143
175	11125	52088
176	11186	52013
177	11249	51949
178	11310	51877
179	11374	51816
180	11436	51748
181	11499	51685
182	11565	51632
183	11629	51572
184	11690	51502
185	11751	51430
186	11818	51382
187	11877	51300
188	11939	51232
189	12002	51167
190	12066	51109
191	12129	51043
192	12188	50963
193	12248	50888
194	12314	50836
195	12375	50764
196	12437	50696
197	12498	50624
198	12561	50562
199	12621	50486
200	12687	50435
201	12750	50371
202	12813	50308
203	12878	50249
204	12942	50190
205	13002	50117
206	13065	50054
207	13129	49992
208	13189	49919
209	13253	49859
210	13318	49802
211	13382	49744
212	13444	49673
213	13506	49607
214	13569	49543
215	13635	49491
216	13698	49427
217	13761	49364
218	13824	49301
219	13888	49239
220	13952	49180
221	14016	49121
222	14078	49052
223	14134	48966
224	14199	48910
225	14262	48847
226	14326	48786
227	14389	48721
228	14452	48657
229	14515	48596
230	14578	48530
231	14640	48466
232	14696	48379
233	14758	48312
234	14819	48243
235	14883	48182
236	14946	48119
237	15011	48061
238	15072	47991
239	15135	47928
240	15199	47867
241	15262	47804
242	15325	47741
243	15387	47676
244	15451	47615
245	15514	47552
246	15582	47503
247	15646	47445
248	15712	47389
249	15775	47325
250	15836	47258
251	15900	47197
252	15965	47137
253	16028	47074
254	16086	46999
255	16149	46933
256	16205	46851
257	16269	46790
258	16331	46725
259	16391	46652
260	16453	46587
261	16515	46519
262	16578	46457
263	16642	46397
264	16705	46334
265	16770	46275
266	16836	46222
267	16902	46165
268	16966	46105
269	17030	46044
270	17095	45986
271	17154	45913
272	17216	45847
273	17280	45787
274	17342	45722
275	17407	45662
276	17469	45596
277	17532	45532
278	17594	45467
279	17656	45403
280	17719	45339
281	17782	45274
282	17841	45203
283	17902	45135
284	17967	45075
285	18031	45015
286	18095	44955
287	18157	44889
288	18222	44831
289	18286	44771
290	18350	44709
291	18414	44648
292	18477	44584
293	18541	44525
294	18605	44464
295	18673	44413
296	18735	44346
297	18800	44287
298	18858	44212
299	18922	44152
300	18986	44090
301	19049	44028
302	19110	43961
303	19171	43892
304	19236	43833
305	19304	43781
306	19367	43718
307	19431	43658
308	19495	43597
309	19561	43540
310	19625	43479
311	19691	43422
312	19753	43355
313	19815	43290
314	19877	43226
315	19940	43161
316	19999	43090
317	20068	43041
318	20196	43114
319	20273	43081
320	20340	43025
321	20404	42964
322	20464	42892
323	20529	42832
324	20605	42795
325	20675	42746
326	20741	42687
327	20818	42652
328	20903	42633
329	20994	42624
330	21071	42589
331	21143	42541
332	21211	42487
333	21281	42435
334	21355	42392
335	21429	42349
336	21496	42291
337	21572	42252
338	21643	42201
339	21708	42140
340	21778	42087
341	21847	42033
342	21918	41983
343	21988	41931
344	22063	41889
345	22135	41840
346	22207	41790
347	22274	41733
348	22343	41677
349	22409	41618
350	22473	41553
351	22541	41496
352	22607	41436
353	22679	41386
354	22753	41340
355	22828	41296
356	22904	41254
357	22974	41200
358	23044	41146
359	23120	41103
360	23191	41050
361	23258	40990
362	23323	40928
363	23391	40870
364	23459	40813
365	23528	40756
366	23596	40698
367	23666	40644
368	23733	40584
369	23799	40522
370	23863	40458
371	23927	40393
372	23999	40343
373	24072	40292
374	24143	40239
375	24209	40178
376	24276	40117
377	24342	40055
378	24409	39995
379	24491	39959
380	24568	39915
381	24648	39876
382	24726	39834
383	24796	39778
384	24864	39718
385	24931	39658
386	24999	39598
387	25061	39529
388	25124	39462
389	25186	39394
390	25253	39334
391	25325	39280
392	25396	39226
393	25468	39171
394	25543	39122
395	25607	39058
396	25670	38991
397	25747	38944
398	25816	38886
399	25884	38826
400	25956	38772
401	26026	38715
402	26093	38654
403	26156	38587
404	26227	38531
405	26296	38473
406	26393	38456
407	26476	38417
408	26548	38362
409	26614	38299
410	26680	38235
411	26745	38170
412	26811	38107
413	26875	38041
414	26939	37974
415	27002	37907
416	27065	37840
417	27127	37771
418	27195	37710
419	27266	37654
420	27335	37594
421	27406	37538
422	27473	37476
423	27536	37407
424	27600	37341
425	27664	37276
426	27728	37209
427	27795	37147
428	27860	37081
429	27924	37015
430	27981	36941
431	28045	36874
432	28108	36807
433	28176	36746
434	28241	36681
435	28333	36651
436	28400	36589
437	28468	36527
438	28537	36468
439	28613	36417
440	28683	36357
441	28757	36304
442	28830	36249
443	28901	36191
444	28971	36133
445	29040	36072
446	29113	36017
447	29187	35963
448	29263	35911
449	29342	35863
450	29423	35817
451	29499	35765
452	29576	35713
453	29658	35668
454	29723	35602
455	29798	35548
456	29870	35492
457	29941	35432
458	30010	35371
459	30080	35311
460	30152	35253
461	30225	35198
462	30293	35134
463	30363	35075
464	30434	35016
465	30506	34958
466	30577	34899
467	30647	34838
468	30715	34776
469	30788	34718
470	30859	34659
471	30930	34599
472	30995	34534
473	31062	34470
474	31128	34405
475	31195	34340
476	31263	34278
477	31328	34212
478	31401	34154
479	31491	34115
480	31568	34062
481	31638	34001
482	31713	33946
483	31784	33885
484	31858	33828
485	31928	33768
486	32006	33714
487	32084	33662
488	32157	33603
489	32227	33542
490	32298	33482
491	32376	33429
492	32449	33370
493	32522	33312
494	32589	33247
495	32661	33188
496	32734	33130
497	32812	33075
498	32891	33023
499	32964	32964
500	33039	32907
501	33107	32843
502	33176	32780
503	33243	32716
504	33306	32646
505	33369	32578
506	33435	32511
507	33497	32442
508	33563	32376
509	33626	32308
510	33691	32240
511	33755	32172
512	33817	32103
513	33882	32036
514	33950	31972
515	34019	31910
516	34088	31846
517	34157	31783
518	34228	31722
519	34292	31654
520	34356	31587
521	34425	31523
522	34530	31493
523	34600	31430
524	34666	31365
525	34730	31297
526	34798	31233
527	34860	31163
528	34926	31097
529	34990	31028
530	35051	30958
531	35114	30890
532	35180	30824
533	35246	30758
534	35310	30690
535	35372	30621
536	35440	30556
537	35508	30492
538	35574	30426
539	35630	30351
540	35697	30286
541	35762	30219
542	35825	30151
543	35892	30085
544	35961	30023
545	36026	29956
546	36089	29887
547	36152	29818
548	36217	29752
549	36279	29683
550	36341	29614
551	36406	29547
552	36472	29481
553	36533	29411
554	36597	29344
555	36662	29276
556	36726	29209
557	36790	29142
558	36854	29074
559	36920	29008
560	36985	28942
561	37049	28874
562	37117	28810
563	37183	28744
564	37248	28678
565	37317	28614
566	37382	28547
567	37444	28479
568	37510	28413
569	37576	28347
570	37639	28279
571	37705	28213
572	37770	28146
573	37834	28079
574	37900	28013
575	37963	27945
576	38030	27879
577	38096	27814
578	38160	27746
579	38220	27677
580	38285	27610
581	38346	27540
582	38410	27474
583	38476	27407
584	38541	27341
585	38603	27273
586	38667	27205
587	38731	27138
588	38801	27075
589	38866	27008
590	38931	26942
591	38994	26874
592	39058	26807
593	39122	26740
594	39185	26672
595	39252	26607
596	39322	26544
597	39386	26477
598	39448	26408
599	39513	26342
600	39578	26275
601	39643	26209
602	39711	26145
603	39780	26080
604	39851	26018
605	39916	25952
606	39982	25886
607	40038	25814
608	40104	25748
609	40170	25682
610	40239	25618
611	40334	25571
612	40399	25505
613	40463	25438
614	40527	25370
615	40594	25305
616	40664	25242
617	40739	25181
618	40810	25119
619	40876	25053
620	40941	24986
621	41010	24922
622	41081	24859
623	41145	24792
624	41206	24724
625	41272	24658
626	41334	24589
627	41396	24521
628	41461	24455
629	41525	24388
630	41586	24319
631	41653	24253
632	41717	24186
633	41779	24118
634	41843	24051
635	41907	23984
636	41971	23917
637	42035	23851
638	42101	23784
639	42165	23718
640	42230	23651
641	42290	23582
642	42365	23521
643	42432	23456
644	42494	23388
645	42557	23320
646	42620	23253
647	42683	23185
648	42746	23118
649	42810	23051
650	42877	22986
651	42945	22921
652	43014	22857
653	43083	22793
654	43145	22725
655	43205	22656
656	43272	22591
657	43342	22527
658	43412	22464
659	43477	22397
660	43542	22330
661	43606	22264
662	43668	22196
663	43732	22129
664	43795	22062
665	43860	21995
666	43926	21930
667	43989	21862
668	44056	21797
669	44121	21731
670	44185	21664
671	44248	21597
672	44317	21533
673	44382	21466
674	44446	21400
675	44510	21333
676	44578	21268
677	44648	21204
678	44712	21138
679	44786	21076
680	44852	21010
681	44916	20943
682	44980	20876
683	45043	20809
